Sample_id,Sample_label
1,2
2,1
3,1
4,1
5,1
6,4
7,1
8,8
9,1
10,1
11,1
12,6
13,1
14,3
15,4
16,1
17,6
18,1
19,6
20,1
21,2
22,6
23,1
24,1
25,1
26,2
27,6
28,1
29,1
30,1
31,2
32,1
33,1
34,2
35,1
36,4
37,1
38,1
39,1
40,1
41,1
42,2
43,4
44,1
45,1
46,2
47,1
48,1
49,1
50,1
51,3
52,1
53,2
54,8
55,1
56,6
57,1
58,1
59,3
60,1
61,1
62,3
63,1
64,1
65,1
66,1
67,1
68,2
69,1
70,1
71,1
72,1
73,6
74,1
75,1
76,6
77,1
78,9
79,3
80,2
81,6
82,1
83,1
84,2
85,6
86,3
87,2
88,6
89,1
90,1
91,1
92,4
93,1
94,1
95,1
96,1
97,3
98,2
99,2
100,3
101,1
102,9
103,2
104,1
105,2
106,1
107,1
108,1
109,3
110,1
111,2
112,6
113,1
114,1
115,1
116,1
117,1
118,3
119,1
120,1
121,1
122,1
123,3
124,1
125,1
126,3
127,1
128,1
129,9
130,1
131,2
132,1
133,1
134,9
135,1
136,1
137,2
138,6
139,1
140,1
141,1
142,1
143,1
144,1
145,2
146,1
147,1
148,2
149,2
150,1
151,1
152,1
153,1
154,1
155,1
156,1
157,4
158,8
159,2
160,2
161,1
162,2
163,1
164,1
165,3
166,1
167,1
168,2
169,1
170,3
171,1
172,8
173,1
174,4
175,3
176,2
177,1
178,1
179,1
180,4
181,1
182,1
183,6
184,4
185,1
186,1
187,2
188,1
189,2
190,1
191,1
192,2
193,1
194,6
195,2
196,1
197,2
198,2
199,1
200,2
201,2
202,1
203,8
204,1
205,1
206,1
207,3
208,1
209,6
210,1
211,2
212,6
213,1
214,1
215,1
216,10
217,1
218,1
219,1
220,2
221,6
222,1
223,1
224,1
225,1
226,1
227,1
228,3
229,6
230,1
231,1
232,3
233,2
234,1
235,6
236,1
237,3
238,1
239,1
240,1
241,1
242,2
243,8
244,1
245,1
246,2
247,2
248,1
249,1
250,1
251,1
252,2
253,1
254,1
255,1
256,8
257,1
258,1
259,1
260,2
261,3
262,1
263,2
264,1
265,3
266,1
267,1
268,8
269,1
270,1
271,1
272,2
273,4
274,1
275,1
276,1
277,1
278,2
279,6
280,1
281,3
282,1
283,1
284,1
285,1
286,4
287,1
288,1
289,1
290,1
291,1
292,1
293,3
294,1
295,1
296,5
297,1
298,1
299,7
300,1
301,1
302,1
303,6
304,1
305,3
306,1
307,1
308,2
309,3
310,1
311,1
312,1
313,2
314,2
315,6
316,3
317,6
318,1
319,2
320,1
321,1
322,2
323,4
324,1
325,1
326,10
327,9
328,1
329,2
330,1
331,2
332,5
333,1
334,1
335,1
336,1
337,1
338,1
339,6
340,2
341,2
342,1
343,8
344,1
345,1
346,1
347,3
348,1
349,3
350,1
351,1
352,6
353,2
354,3
355,2
356,1
357,1
358,1
359,1
360,1
361,1
362,1
363,1
364,1
365,1
366,6
367,1
368,1
369,4
370,4
371,1
372,2
373,1
374,1
375,1
376,3
377,4
378,1
379,1
380,10
381,1
382,1
383,1
384,1
385,2
386,6
387,4
388,1
389,1
390,1
391,1
392,1
393,1
394,3
395,1
396,1
397,1
398,6
399,1
400,1
401,2
402,1
403,1
404,2
405,1
406,2
407,1
408,1
409,3
410,3
411,1
412,1
413,4
414,1
415,2
416,3
417,2
418,1
419,3
420,3
421,1
422,4
423,2
424,3
425,1
426,2
427,2
428,1
429,6
430,1
431,2
432,1
433,1
434,3
435,1
436,1
437,1
438,3
439,6
440,1
441,3
442,6
443,1
444,1
445,4
446,4
447,2
448,1
449,1
450,1
451,1
452,2
453,1
454,4
455,1
456,2
457,1
458,1
459,6
460,1
461,1
462,1
463,2
464,1
465,1
466,1
467,1
468,1
469,2
470,1
471,1
472,1
473,1
474,1
475,3
476,1
477,2
478,1
479,2
480,6
481,4
482,1
483,2
484,6
485,1
486,5
487,1
488,1
489,9
490,2
491,8
492,6
493,1
494,6
495,1
496,8
497,1
498,1
499,1
500,1
501,5
502,1
503,5
504,4
505,1
506,1
507,1
508,2
509,9
510,1
511,2
512,3
513,1
514,2
515,2
516,1
517,1
518,3
519,1
520,8
521,2
522,1
523,6
524,1
525,1
526,9
527,8
528,3
529,1
530,1
531,2
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,1
541,2
542,6
543,6
544,3
545,1
546,3
547,1
548,1
549,1
550,1
551,1
552,4
553,1
554,1
555,1
556,4
557,1
558,1
559,2
560,2
561,1
562,2
563,2
564,6
565,2
566,1
567,4
568,2
569,1
570,2
571,1
572,1
573,1
574,1
575,2
576,4
577,1
578,1
579,2
580,2
581,4
582,1
583,3
584,1
585,2
586,3
587,1
588,1
589,2
590,1
591,2
592,1
593,1
594,1
595,1
596,1
597,6
598,1
599,9
600,6
601,1
602,1
603,1
604,8
605,9
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,6
614,1
615,1
616,6
617,8
618,1
619,1
620,1
621,3
622,1
623,1
624,1
625,1
626,1
627,1
628,1
629,6
630,3
631,1
632,1
633,1
634,1
635,9
636,2
637,6
638,1
639,1
640,1
641,2
642,2
643,1
644,1
645,1
646,1
647,3
648,2
649,2
650,1
651,1
652,2
653,3
654,2
655,4
656,8
657,1
658,5
659,3
660,1
661,6
662,1
663,2
664,2
665,2
666,2
667,1
668,1
669,9
670,1
671,1
672,2
673,1
674,8
675,1
676,1
677,1
678,1
679,10
680,1
681,1
682,1
683,1
684,2
685,3
686,6
687,1
688,1
689,2
690,1
691,1
692,1
693,2
694,1
695,3
696,1
697,1
698,3
699,1
700,1
701,2
702,1
703,2
704,1
705,1
706,2
707,1
708,3
709,2
710,1
711,2
712,2
713,1
714,1
715,8
716,6
717,2
718,9
719,2
720,1
721,1
722,6
723,6
724,2
725,9
726,2
727,7
728,1
729,1
730,1
731,1
732,3
733,6
734,1
735,5
736,1
737,1
738,2
739,1
740,1
741,1
742,4
743,1
744,5
745,3
746,4
747,1
748,1
749,1
750,1
751,1
752,4
753,1
754,1
755,3
756,3
757,1
758,2
759,1
760,1
761,2
762,1
763,1
764,3
765,1
766,3
767,1
768,1
769,7
770,1
771,1
772,1
773,1
774,1
775,1
776,2
777,1
778,6
779,1
780,1
781,1
782,8
783,1
784,1
785,1
786,1
787,1
788,9
789,1
790,1
791,1
792,1
793,4
794,4
795,1
796,2
797,3
798,7
799,2
800,4
801,1
802,1
803,1
804,1
805,1
806,2
807,1
808,1
809,1
810,1
811,8
812,1
813,1
814,1
815,6
816,9
817,6
818,2
819,1
820,6
821,1
822,2
823,2
824,1
825,2
826,1
827,8
828,1
829,1
830,2
831,1
832,7
833,1
834,1
835,1
836,2
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,4
845,1
846,1
847,2
848,6
849,6
850,1
851,2
852,3
853,1
854,1
855,1
856,1
857,1
858,6
859,1
860,3
861,1
862,1
863,1
864,1
865,3
866,6
867,1
868,3
869,6
870,2
871,2
872,1
873,1
874,2
875,2
876,6
877,1
878,3
879,1
880,1
881,2
882,2
883,6
884,1
885,1
886,3
887,6
888,1
889,1
890,1
891,2
892,2
893,1
894,1
895,1
896,1
897,1
898,2
899,1
900,3
901,1
902,2
903,6
904,8
905,6
906,1
907,1
908,1
909,1
910,2
911,8
912,1
913,2
914,1
915,1
916,2
917,1
918,2
919,1
920,1
921,8
922,1
923,1
924,1
925,2
926,6
927,3
928,8
929,1
930,1
931,4
932,1
933,2
934,1
935,3
936,1
937,1
938,1
939,8
940,1
941,2
942,6
943,1
944,3
945,1
946,1
947,4
948,6
949,2
950,1
951,1
952,1
953,1
954,2
955,1
956,1
957,1
958,1
959,1
960,2
961,6
962,2
963,6
964,1
965,3
966,1
967,3
968,1
969,1
970,3
971,1
972,1
973,2
974,6
975,3
976,6
977,1
978,3
979,3
980,9
981,2
982,1
983,1
984,6
985,1
986,1
987,2
988,1
989,2
990,1
991,1
992,2
993,2
994,1
995,1
996,1
997,1
998,2
999,1
1000,1
1001,1
1002,1
1003,1
1004,3
1005,1
1006,1
1007,1
1008,2
1009,1
1010,1
1011,2
1012,1
1013,2
1014,1
1015,1
1016,1
1017,1
1018,1
1019,2
1020,3
1021,1
1022,1
1023,1
1024,4
1025,1
1026,6
1027,8
1028,5
1029,1
1030,1
1031,6
1032,2
1033,1
1034,1
1035,1
1036,1
1037,6
1038,6
1039,2
1040,3
1041,3
1042,1
1043,1
1044,2
1045,9
1046,1
1047,1
1048,1
1049,1
1050,1
1051,3
1052,1
1053,1
1054,3
1055,1
1056,1
1057,2
1058,1
1059,3
1060,1
1061,6
1062,1
1063,1
1064,2
1065,3
1066,1
1067,6
1068,1
1069,1
1070,6
1071,4
1072,1
1073,2
1074,1
1075,2
1076,10
1077,1
1078,1
1079,3
1080,3
