Sample_id,Sample_label
1,2
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,2
11,1
12,1
13,1
14,1
15,1
16,2
17,2
18,1
19,1
20,2
21,2
22,1
23,2
24,1
25,2
26,4
27,2
28,1
29,1
30,1
31,2
32,1
33,1
34,1
35,1
36,1
37,1
38,1
39,1
40,2
41,1
42,2
43,1
44,1
45,2
46,2
47,2
48,2
49,2
50,1
51,2
52,1
53,1
54,1
55,1
56,1
57,1
58,2
59,3
60,2
61,1
62,1
63,1
64,2
65,1
66,2
67,2
68,2
69,2
70,1
71,2
72,1
73,1
74,1
75,1
76,2
77,1
78,3
79,1
80,2
81,1
82,2
83,2
84,1
85,3
86,1
87,2
88,1
89,1
90,1
91,2
92,2
93,1
94,2
95,1
96,1
97,5
98,4
99,2
100,2
101,1
102,1
103,2
104,1
105,1
106,2
107,1
108,1
109,1
110,1
111,1
112,1
113,2
114,1
115,1
116,1
117,1
118,1
119,1
120,1
121,1
122,1
123,2
124,1
125,1
126,1
127,2
128,1
129,3
130,2
131,1
132,1
133,1
134,1
135,2
136,1
137,3
138,3
139,1
140,1
141,1
142,1
143,1
144,1
145,1
146,2
147,1
148,2
149,2
150,2
151,2
152,1
153,2
154,2
155,1
156,2
157,1
158,1
159,1
160,2
161,1
162,2
163,1
164,1
165,1
166,1
167,1
168,1
169,1
170,1
171,2
172,1
173,1
174,1
175,1
176,1
177,1
178,1
179,1
180,1
181,1
182,1
183,2
184,2
185,2
186,1
187,1
188,1
189,2
190,1
191,1
192,2
193,1
194,1
195,2
196,3
197,1
198,1
199,1
200,1
201,2
202,1
203,1
204,1
205,1
206,1
207,1
208,1
209,2
210,2
211,2
212,1
213,1
214,2
215,1
216,1
217,1
218,2
219,1
220,2
221,1
222,1
223,2
224,2
225,2
226,2
227,1
228,2
229,1
230,2
231,1
232,1
233,1
234,1
235,1
236,1
237,1
238,2
239,1
240,1
241,1
242,1
243,2
244,2
245,1
246,2
247,1
248,2
249,1
250,2
251,1
252,1
253,1
254,1
255,1
256,2
257,1
258,2
259,1
260,1
261,1
262,2
263,1
264,1
265,1
266,4
267,1
268,1
269,2
270,1
271,2
272,2
273,1
274,1
275,1
276,2
277,1
278,2
279,1
280,1
281,1
282,1
283,1
284,1
285,1
286,2
287,1
288,1
289,1
290,1
291,1
292,1
293,1
294,2
295,1
296,1
297,2
298,2
299,2
300,1
301,2
302,2
303,1
304,1
305,3
306,2
307,1
308,2
309,2
310,1
311,1
312,1
313,2
314,2
315,2
316,1
317,1
318,1
319,2
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,1
328,2
329,1
330,1
331,2
332,1
333,2
334,1
335,1
336,1
337,1
338,1
339,1
340,1
341,1
342,2
343,1
344,2
345,1
346,2
347,1
348,1
349,1
350,2
351,2
352,3
353,2
354,2
355,2
356,1
357,1
358,1
359,1
360,2
361,1
362,1
363,1
364,2
365,2
366,1
367,1
368,2
369,2
370,1
371,1
372,2
373,1
374,1
375,1
376,1
377,2
378,2
379,1
380,2
381,1
382,2
383,1
384,2
385,1
386,1
387,2
388,2
389,1
390,2
391,2
392,1
393,1
394,1
395,1
396,1
397,1
398,1
399,1
400,1
401,2
402,1
403,1
404,2
405,2
406,2
407,2
408,1
409,2
410,1
411,1
412,2
413,1
414,1
415,2
416,2
417,2
418,2
419,1
420,2
421,2
422,1
423,2
424,4
425,1
426,1
427,2
428,1
429,1
430,2
431,1
432,1
433,1
434,4
435,1
436,1
437,1
438,2
439,1
440,1
441,1
442,1
443,1
444,1
445,1
446,3
447,2
448,1
449,2
450,1
451,2
452,2
453,2
454,2
455,2
456,1
457,1
458,1
459,1
460,1
461,1
462,2
463,2
464,1
465,1
466,1
467,1
468,2
469,1
470,1
471,1
472,1
473,2
474,1
475,2
476,2
477,1
478,1
479,1
480,1
481,2
482,1
483,1
484,1
485,2
486,1
487,2
488,1
489,1
490,2
491,2
492,2
493,1
494,2
495,2
496,2
497,1
498,1
499,2
500,2
501,1
502,1
503,1
504,2
505,1
506,2
507,1
508,2
509,2
510,1
511,2
512,1
513,1
514,2
515,1
516,1
517,2
518,1
519,1
520,1
521,3
522,2
523,1
524,2
525,1
526,1
527,1
528,1
529,1
530,1
531,2
532,1
533,1
534,1
535,1
536,1
537,1
538,1
539,1
540,2
541,1
542,3
543,1
544,1
545,1
546,1
547,2
548,1
549,1
550,1
551,1
552,1
553,1
554,1
555,1
556,2
557,1
558,1
559,2
560,1
561,1
562,1
563,2
564,1
565,2
566,1
567,1
568,1
569,2
570,1
571,1
572,1
573,1
574,1
575,1
576,3
577,2
578,1
579,1
580,2
581,1
582,1
583,1
584,1
585,2
586,1
587,1
588,2
589,1
590,1
591,2
592,1
593,1
594,2
595,1
596,1
597,1
598,1
599,1
600,1
601,1
602,2
603,1
604,1
605,1
606,1
607,2
608,1
609,2
610,1
611,1
612,1
613,3
614,2
615,1
616,3
617,1
618,2
619,2
620,1
621,1
622,1
623,1
624,1
625,2
626,2
627,2
628,2
629,2
630,4
631,2
632,1
633,2
634,2
635,1
636,4
637,2
638,1
639,1
640,1
641,2
642,4
643,1
644,1
645,2
646,1
647,1
648,1
649,1
650,2
651,1
652,1
653,1
654,3
655,2
656,1
657,1
658,1
659,1
660,1
661,3
662,1
663,2
664,2
665,2
666,1
667,1
668,1
669,1
670,1
671,1
672,2
673,2
674,1
675,1
676,1
677,2
678,2
679,1
680,1
681,1
682,1
683,2
684,1
685,2
686,1
687,1
688,1
689,2
690,2
691,1
692,1
693,2
694,2
695,1
696,1
697,2
698,1
699,2
700,2
701,2
702,2
703,1
704,2
705,1
706,1
707,2
708,1
709,2
710,1
711,1
712,4
713,2
714,2
715,2
716,1
717,1
718,1
719,1
720,1
721,1
722,2
723,1
724,2
725,1
726,2
727,3
728,1
729,2
730,1
731,1
732,2
733,1
734,1
735,1
736,1
737,1
738,2
739,2
740,1
741,2
742,1
743,2
744,1
745,2
746,2
747,1
748,1
749,1
750,1
751,1
752,3
753,2
754,1
755,1
756,2
757,1
758,1
759,1
760,1
761,2
762,2
763,1
764,1
765,1
766,1
767,1
768,2
769,1
770,1
771,1
772,1
773,2
774,1
775,1
776,1
777,1
778,1
779,2
780,1
781,1
782,1
783,1
784,1
785,1
786,1
787,2
788,1
789,1
790,2
791,2
792,2
793,1
794,1
795,1
796,1
797,1
798,1
799,1
800,1
801,1
802,2
803,1
804,1
805,2
806,2
807,1
808,1
809,1
810,2
811,2
812,1
813,2
814,2
815,2
816,1
817,4
818,1
819,1
820,1
821,2
822,2
823,2
824,1
825,1
826,1
827,1
828,2
829,1
830,2
831,1
832,1
833,1
834,1
835,1
836,2
837,1
838,1
839,1
840,1
841,2
842,2
843,1
844,2
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,2
853,2
854,2
855,1
856,2
857,1
858,2
859,1
860,1
861,2
862,2
863,2
864,1
865,2
866,1
867,2
868,2
869,1
870,1
871,1
872,7
873,1
874,1
875,1
876,1
877,1
878,1
879,1
880,1
881,2
882,4
883,4
884,2
885,1
886,1
887,1
888,1
889,1
890,1
891,2
892,2
893,1
894,1
895,1
896,1
897,1
898,1
899,2
900,2
901,1
902,2
903,2
904,1
905,1
906,2
907,1
908,1
909,1
910,2
911,1
912,1
913,1
914,1
915,1
916,1
917,1
918,2
919,1
920,1
921,1
922,1
923,1
924,1
925,1
926,2
927,2
928,1
929,2
930,1
931,2
932,1
933,2
934,2
935,1
936,1
937,1
938,2
939,4
940,3
941,2
942,2
943,1
944,1
945,1
946,2
947,2
948,1
949,2
950,2
951,2
952,1
953,1
954,1
955,2
956,1
957,1
958,2
959,1
960,7
961,3
962,1
963,1
964,2
965,1
966,1
967,2
968,1
969,1
970,2
971,1
972,2
973,1
974,1
975,1
976,2
977,2
978,2
979,2
980,2
981,2
982,1
983,2
984,2
985,1
986,1
987,1
988,1
989,2
990,2
991,1
992,1
993,1
994,1
995,1
996,1
997,1
998,1
999,1
1000,1
1001,2
1002,1
1003,1
1004,1
1005,1
1006,2
1007,1
1008,1
1009,1
1010,1
1011,1
1012,4
1013,2
1014,1
1015,2
1016,1
1017,2
1018,1
1019,1
1020,2
1021,1
1022,4
1023,1
1024,1
1025,1
1026,2
1027,1
1028,2
1029,2
1030,1
1031,2
1032,2
1033,1
1034,1
1035,2
1036,1
1037,1
1038,1
1039,1
1040,1
1041,1
1042,2
1043,1
1044,1
1045,1
1046,1
1047,1
1048,1
1049,1
1050,2
1051,1
1052,1
1053,2
1054,1
1055,1
1056,1
1057,2
1058,2
1059,2
1060,1
1061,1
1062,2
1063,1
1064,2
1065,1
1066,1
1067,1
1068,1
1069,1
1070,3
1071,4
1072,1
1073,1
1074,2
1075,1
1076,2
1077,1
1078,2
1079,1
1080,5
